year,originCountry,refugees,happinessScore,lifeLadder,logGDPperCapita,socialSupport,healthyLifeExpectancyAtBirth,freedomToMakeLifeChoices,generosity,perceptionsOfCorruption,positiveAffect,negativeAffect,GINIofHouseholdIncome
2012,Nigeria,3154,,5.492954254,8.582878113,0.817579567,44.03263855,0.651688874,0.054680578,0.900431395,0.810905516,0.209099486,0.48107487
2012,Afghanistan,16187,,3.782937527,7.517126083,0.520636737,50.70926285,0.530935049,0.247159243,0.775619805,0.710384727,0.267919123,0.344539613
2013,Iraq,246298,,4.725017071,9.621003151,0.728285432,60.2989006,,-0.089311756,0.709726155,,0.554278731,0.44740504
2013,Iran,857354,,5.139579296,9.704015732,0.66370672,65.00792694,0.730214715,0.181331903,0.685038149,0.659087777,0.551839709,0.430770934
2013,Ukraine,2968,,4.710802555,9.028688431,0.896510422,63.14153671,0.568715692,-0.198611125,0.937324286,0.643461585,0.224595502,0.348636597
2013,Syria,666547,,2.687552929,,0.585450053,61.06104279,0.45488289,,0.663430989,0.386986703,0.622229934,0.454432696
2013,Pakistan,1616507,,5.138082504,8.403820992,0.607087076,56.80862808,0.447909594,0.085226193,0.791835248,0.59788686,0.273709893,0.402870268
2013,Myanmar,1440075,,4.175670624,8.402433395,0.75672549,56.9900589,0.775447607,0.669333935,0.637765765,0.803301811,0.217310622,0.457943141
2013,DRC,113362,,4.497477055,6.529524803,0.829852045,49.34125519,0.480394155,0.040872987,0.912991524,0.589168489,0.187094659,0.500165999
2013,Venezuela,204340,,6.552796364,9.779354095,0.896301091,64.3243103,0.64196521,-0.238719583,0.837299705,0.839730322,0.237609103,0.275067925
2013,Yemen,241288,,4.217678547,8.261730194,0.693905294,54.23377991,0.542547464,-0.187269315,0.885196507,0.558499932,0.265685052,0.429792285
2013,Colombia,224,,6.606550694,9.417053223,0.900777876,63.52719879,0.841173172,-0.077944398,0.898202121,0.850565016,0.278113931,0.474851757
2013,Nigeria,1694,,4.81786871,8.608688354,0.662943304,44.39230728,0.621587694,0.03960998,0.905309319,0.63848871,0.286345929,0.44908005
2013,Afghanistan,16863,,3.572100401,7.50337553,0.48355186,51.04298019,0.577955365,0.074734926,0.8232041,0.620584846,0.273328096,0.304368466
2014,Sudan,277833,,4.138672829,8.340058327,0.81061554,53.82001114,0.3900958,-0.07236103,0.793785036,0.540845037,0.302724987,0.455438644
2014,South Sudan,248152,,3.831992388,7.595668793,0.545118451,48.69511795,0.567259312,0.02525798,0.741540551,0.614023983,0.428319663,0.940946221
2014,Iraq,271143,,4.541502476,9.595374107,0.725150704,60.49945831,0.646006584,-0.040665306,0.726008117,0.573671103,0.563631117,0.570642948
2014,Iran,982027,,4.682224274,9.736499786,0.644063771,65.27844238,0.766822994,0.206236124,0.639682412,0.618345201,0.511569083,0.4708471
2014,Ukraine,3219,,4.297329903,9.017176628,0.876760185,63.16555786,0.533267498,0.101574235,0.926788926,0.594336987,0.248560056,0.412379056
2014,Somalia,2729,,5.528272629,,0.610835552,47.09350586,0.873878837,,0.456470013,0.834453702,0.207215205,0.619422734
2014,Pakistan,1505525,,5.435657978,8.428629875,0.551683307,56.99007797,0.543138504,0.126020953,0.676927507,0.584937394,0.295479774,0.434137315
